# speciesId,level,moveId
bulbasaur,1,tackle
bulbasaur,3,growl
bulbasaur,5,vine-whip
bulbasaur,9,leech-seed
bulbasaur,12,razor-leaf
bulbasaur,16,poison-powder
ivysaur,1,tackle
ivysaur,3,growl
ivysaur,5,vine-whip
ivysaur,9,leech-seed
ivysaur,16,razor-leaf
ivysaur,24,poison-powder
venusaur,1,tackle
venusaur,3,growl
venusaur,5,vine-whip
venusaur,9,leech-seed
venusaur,32,razor-leaf
venusaur,40,poison-powder
charmander,1,scratch
charmander,4,growl
charmander,8,ember
charmander,14,fire-spin
charmander,22,fire-punch
charmeleon,1,scratch
charmeleon,4,growl
charmeleon,8,ember
charmeleon,16,fire-spin
charmeleon,26,fire-punch
charizard,1,scratch
charizard,4,growl
charizard,8,ember
charizard,20,fire-spin
charizard,36,fire-punch
squirtle,1,tackle
squirtle,3,tail-whip
squirtle,6,water-gun
squirtle,12,bubble-beam
squirtle,18,water-pulse
wartortle,1,tackle
wartortle,3,tail-whip
wartortle,6,water-gun
wartortle,16,bubble-beam
wartortle,22,water-pulse
blastoise,1,tackle
blastoise,3,tail-whip
blastoise,6,water-gun
blastoise,20,bubble-beam
blastoise,36,water-pulse
pikachu,1,thunder-shock
pikachu,1,growl
pikachu,6,quick-attack
pikachu,14,agility
pikachu,20,thunder
eevee,1,tackle
eevee,3,tail-whip
eevee,8,quick-attack
eevee,16,protect
eevee,24,rest
growlithe,1,tackle
growlithe,4,growl
growlithe,8,ember
growlithe,16,fire-spin
growlithe,28,fire-punch
arcanine,1,tackle
arcanine,4,growl
arcanine,8,ember
arcanine,16,fire-spin
arcanine,32,fire-punch
horsea,1,water-gun
horsea,4,tail-whip
horsea,8,bubble-beam
horsea,16,water-pulse
horsea,24,agility
seadra,1,water-gun
seadra,4,tail-whip
seadra,8,bubble-beam
seadra,16,water-pulse
seadra,28,agility
abra,1,confusion
abra,6,protect
abra,12,psybeam
abra,18,rest
abra,24,agility
kadabra,1,confusion
kadabra,8,psybeam
kadabra,16,protect
kadabra,24,agility
kadabra,32,rest
alakazam,1,confusion
alakazam,8,psybeam
alakazam,16,protect
alakazam,24,agility
alakazam,36,rest
machop,1,low-kick
machop,4,growl
machop,10,rock-throw
machop,18,strength
machop,26,harden
machoke,1,low-kick
machoke,4,growl
machoke,12,rock-throw
machoke,20,strength
machoke,30,harden
machamp,1,low-kick
machamp,4,growl
machamp,12,rock-throw
machamp,20,strength
machamp,36,harden
geodude,1,tackle
geodude,5,harden
geodude,10,rock-throw
geodude,18,strength
graveler,1,tackle
graveler,5,harden
graveler,12,rock-throw
graveler,20,strength
golem,1,tackle
golem,5,harden
golem,12,rock-throw
golem,20,strength
gastly,1,confuse-ray
gastly,4,growl
gastly,10,shadow-punch
gastly,16,protect
gastly,24,rest
haunter,1,confuse-ray
haunter,4,growl
haunter,12,shadow-punch
haunter,18,protect
haunter,28,rest
gengar,1,confuse-ray
gengar,4,growl
gengar,12,shadow-punch
gengar,18,protect
gengar,36,rest
dratini,1,tackle
dratini,3,growl
dratini,8,quick-attack
dratini,14,dragon-rage
dratini,20,agility
dragonair,1,tackle
dragonair,3,growl
dragonair,8,quick-attack
dragonair,16,dragon-rage
dragonair,24,agility
dragonite,1,tackle
dragonite,3,growl
dragonite,8,quick-attack
dragonite,16,dragon-rage
dragonite,36,agility
